language_iso	trans_ID	language_english	language_name	version	verses
kms	KMSPNG	Kamasau	Kamasau	PNG # 1998 Edition	7955
kmu	KMUTBL	Kanite	Kanite	TBL # 2002 Edition	7945
knv	KN1PNG	Tabo Aramia	Tabo Aramia	PNG # 2006 Edition	7949
kne	KNETBL	Kankanaey	Kankanaey	TBL # 2000 Edition	7947
knf	KNFWYI	Mankanya	Mankanya	WYI # 2014 Edition	7958
knj	KNJSBI	Acateco	Akateko	SBI # 2001 Edition	7922
knk	KNKBSL	Kuranko	Kuranko	BSL # 2005 Edition	7900
kno	KNOBSL	Kono	Kono	BSL # 2006 Edition	7877
knv	KNVPNG	Tabo Fly River	Tabo Fly River	PNG # 2006 Edition	7949
kor	KO2NKV	Korean, North	한국어, 북한	NKV # (North) Revised New Korean Standard Version	31101
kog	KOGWBT	Kogi	Kogi	WBT # WBT Edition	7958
kpf	KPFWBT	Komba	Komba	WBT # 1980 Edition	7949
kpg	KPGKTC	Kapingamarangi	Kapingamarangi	KTC # 1996 Edition	30555
kpq	KPQBSI	Korupun-Sela	Kimyal of Korupun	BSI # BSI Version	7958
kpr	KPRTBL	Korafe	Korafe	TBL # 2003 Edition	7647
kpv	KPVIBT	Komi-Zyrian	Komi-Zyrian	IBT # IBT Version	7932
kpw	KPWPNG	Kobon	Kobon	PNG # 2005 Edition	7940
kpz	KPZBSU	Kupsapiny	Kupsapiny	BSU # 1995 Edition	7955
kqe	KQETBL	Kalagan, Eastern	Kalagan, Eastern	TBL # 2012 Edition	7959
kqp	KQPWBT	Kimre	Kimre	WBT # 2007 Edition	7956
kqy	KQYBSE	Koorete	Koorete	BSE # Bible Society Version	7955
krc	KRCLIO	Balkar	Balkar	LIO # IBT Version	7954
kri	KRINVS	Krio	Krio	NVS # 1992 Good News for All Men	7926
krj	KRJWBT	Kinaray-a	Kinaray-a	WBT # 2009 Edition	7957
krl	KRLIBT	Karelian, North	Karelian, North	IBT # IBT Version	7954
kru	KRUFMP	Kurukh	Kurukh	FMP # Friends Missionary Prayer Brand Version	7957
ksd	KSDPNG	Kuanua	Kuanua	PNG # 1983 Edition	31096
ksr	KSRPNG	Borong	Borong	PNG # 2011 Edition	7957
ktb	KTBBSE	Kambaata	Kambaata	BSE # Bible Society Version	7950
ktj	KTJWBT	Kroumen, Plaapo	Krumen, Plapo	WBT # 2003 Edition	7935
kto	KTOWBT	Kuot	Kuot	WBT # 2001 Edition	7942
kub	KUBTBL	Kutep	Kutep	TBL # 1995 Edition	7928
kud	KUDBTA	Auhelawa	Kurux	BTA # 2008 Edition	7958
kue	KUEPNG	Kuman	Kuman	PNG # 2008 Edition	7959
kup	KUPTBL	Kunimaipa	Kunimaipa	TBL # 2002 Edition	7904
kus	KUSTBL	Kusaal	Kusaal	TBL # 1996 Edition	7954
kvn	KVNWBT	Kuna Border	Kuna Border	WBT # 2009 Edition	7958
kwf	KWFWBT	Kwara'ae	Kwara'ae	WBT # 2003 Edition	7951
kwi	KWIWBT	Awa for Ecuador	Awa for Ecuador	WBT # 2002 Edition	7917
kwj	KWJWBT	Kwanga	Kwanga	WBT # 1992 Edition	7958
