language_iso	trans_ID	language_name	verses	source
mee	MEETBL	Mengen	7956	API
mej	MEJTBL	Meyah	7939	API
mek	MEKPNG	Mekeo	7956	API
men	MENBSL	Mende	7929	API
meq	MEQWBT	Merey	7949	API
meu	MEUPNG	Motu	31099	API
mf1	MF1WBT	Moba	7939	API
mfe	MFEBSM	Mauritian Kreol	7957	API
mfh	MFHWYI	Matal	7952	API
mfi	MFIWYI	Mandara	7945	API
mfk	MFKABC	Mofu, North	7956	API
mfq	MFQABT	Moba Lok	7942	API
mfy	MFYWBT	Mayo	7958	API
mfz	MFZBSS	Mabaan	7884	API
mgh	MGHPBT	Makhuwa-Meetto	7959	API
mgo	MGOWYI	Meta	7959	API
mhi	MHIBSU	Ma'di	7955	API
mhl	MHLPNG	Mawake	7919	API
mos	MHMCAT	Moore	7958	API
mhr	MHRIBT	Mari-Meadow	7946	API
mhx	MHXBSM	Lhaovo	7920	API
mhy	MHYLAI	Dayak Ma'anyan	7906	API
mib	MIBTBL	Mixtec, Atatláhuca	7957	API
mie	MIETBL	Mixteco de Ocotepec	7956	API
mif	MIFWBT	Mofu-Gudur	7907	API
mil	MILTBL	Mixteco de Penoles	7955	API
mim	MIMWYI	Mixtec, Alacatlatzala	7952	API
min	MINLAI	Minangkabau	7945	API
mio	MIOWBT	Mixtec, Pinotepa Nacional	7954	API
mip	MIPUTI	Mixteco Apasco-Apoala	7958	API
miq	MIQSBN	Mískito	7956	API
mir	MIRTBL	Mixe, Guichicovi	7512	API
mit	MITTBL	Mixteco del Sur de Puebla	7953	API
miy	MIYWYI	Mixteco de Ayutla	7958	API
miz	MIZTBL	Mixteco de Coatzospan	7956	API
mal	MJSWTC	Malayalam	7955	API
mkl	MKLSIM	Mokole	7904	API
mlg	MLGDPV	Malagasy	31091	API
mlp	MLPTBL	Bargam	7772	API
zsm	MLYBSM	Malay	7943	API
mmo	MMOWBT	Buang - Mangga	7958	API
mnb	MNBTBL	Muna	7957	API
mnf	MNFCAB	Mundani	7958	API
mni	MNIBIV	Manipuri	31106	API
moa	MOAWBT	Mwan	7956	API
mog	MOGLAI	Mongondow	7904	API
mop	MOPWBT	Maya, Mopan	7904	API
mor	MORBSS	Nuba Moro	7957	API
mox	MOXFSA	Molima	7942	API
mpg	MPGABT	Azumeina	7958	API
mpm	MPMTBL	Mixteco de Santiago Yosundua	7951	API
mps	MPSWBT	Dadibi	30314	API
mpt	MPTWBT	Mian	7933	API
mqb	MQBWBT	Mbuko	7954	API
mqj	MQJLAI	Mamasa	7887	API
mrw	MRWNVS	Maranao	30720	API
msm	MSMWPS	Manobo, Agusan	7936	API
msy	MSYPNG	Aruamu	7729	API
mta	MTATBL	Manobo, Cotabato	7904	API
mti	MTIWBT	Oren Maiwa (Papua New Guinea)	7940	API
mtj	MTJTBL	Moskona	7953	API
mto	MTOTBL	Mixe Totontepec	7958	API
mtp	MTPKCV	Weenhayek	7958	API
muh	MUHWBT	Mundu	7482	API
mup	MUPNLL	Malvi	7959	API
mur	MURTBL	Murle	7828	API
